bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termid,termname,termnumber,programid,programname,campusid,campusname,department,departmentname,division,divisionname,courseid,coursename,section,sectionname,instructor,schoolname,cmid,mtcid,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,publisherDate,productcatentryid,copyrightyear,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on
,2681,B00082,,Fayetteville Technical College Bookstore,65603,Continuing Education ,,,,,,65537,1A+ - A+ CERTIFICATION ,,,70701,COMPTIA - COMPTIA FACE-TO-FACE ,10003964,COMPTIA -  1 enrolled for 01/19/22 as of 10/07,,Fayetteville Technical College Bookstore,,,https://bookstore.faytechcc.edu/sites/bookstore.faytechcc.edu/files/imagecache/product_list/isbn_images/9781119515937.jpg,COMPTIA A+ COMPLETE STUDE GUIDE: EXAM 220-1001 AND EXAM 220-1002,4,DOCTER,9781119515937,,1 Required Materials,,,,,,$38.50,,,,,2022-10-17 16:0:43,2022-10-17 16:0:43
,2681,B00082,,Fayetteville Technical College Bookstore,65603,Continuing Education ,,,,,,65538,1ABC - CHILD CARE ,,,69348,ABC - ABC's of Child Care ,1065933,ALL -  ,,Fayetteville Technical College Bookstore,,,https://bookstore.faytechcc.edu/sites/bookstore.faytechcc.edu/files/imagecache/product_list/isbn_images/9780135177372.jpg,EFFECTIVE PRACTICES IN EARLY CHILDHOOD (P),4,BREDEKAMP,9780135177372,,1 Required Materials,Pearson,,"2019, February 8 ",,,$94.50,,,,,2022-10-17 16:0:43,2022-10-17 16:0:43
,2681,B00082,,Fayetteville Technical College Bookstore,65603,Continuing Education ,,,,,,65539,1ACC - ACCOUNTING ,,,70506,CLERK - ONLINE ACCOUNTING CLERK ,1065956,ALL -  ,,Fayetteville Technical College Bookstore,,,https://bookstore.faytechcc.edu/sites/bookstore.faytechcc.edu/files/imagecache/product_list/imagefield_default_images/INA_0.jpg,QUICKBOOKS ONLINE: COMPREHENSIVE 2022 (TEXTBOOK + CODE),,HARTLEY,9781640613713,,1 Required Materials,,,,,,$142.00,,,,,2022-10-17 16:0:43,2022-10-17 16:0:43
